Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
119,2021/8/12 18:7:54.849426,0.09,0.03,-0.02,0.28,-0.87,11.95,-50.0,4.567544504843748
120,2021/8/12 18:7:54.910998,0.2,-0.01,0.04,0.51,0.63,10.61,-50.0,4.567544504843748
121,2021/8/12 18:7:54.971494,-0.15,0.02,0.1,0.61,-0.37,10.99,-50.0,4.567544504843748
122,2021/8/12 18:7:55.25342,-0.02,0.04,-0.04,0.2,-0.62,11.58,-50.0,4.567544504843748
123,2021/8/12 18:7:55.82595,0.06,-0.02,0.04,0.29,0.42,10.45,-50.0,4.567544504843748
124,2021/8/12 18:7:55.141879,-0.2,0.05,0.11,0.28,-0.36,11.12,-50.0,4.567544504843748
125,2021/8/12 18:7:55.200042,-0.04,0.01,-0.06,0.38,-0.89,11.48,-52.0,5.047917353769546
126,2021/8/12 18:7:55.258266,-0.04,0.01,0.04,0.44,0.31,10.39,-54.0,5.578811456235481
127,2021/8/12 18:7:55.317867,-0.11,0.03,0.1,0.91,-0.4,10.13,-54.0,5.578811456235481
128,2021/8/12 18:7:55.377595,0.0,-0.01,-0.02,0.14,-0.66,11.63,-56.0,6.165540178858705
129,2021/8/12 18:7:55.437794,-0.08,0.01,0.04,0.43,0.72,10.38,-56.0,6.165540178858705
130,2021/8/12 18:7:55.491472,-0.07,0.04,0.1,0.88,-0.29,10.01,-58.0,6.8139756999015715
131,2021/8/12 18:7:55.550002,0.11,0.06,-0.03,0.21,-0.82,11.43,-58.0,6.8139756999015715
132,2021/8/12 18:7:55.608312,-0.16,-0.05,0.07,0.31,0.46,10.93,-58.0,6.8139756999015715
133,2021/8/12 18:7:55.666599,-0.06,0.08,0.08,1.07,-0.53,10.13,-60.0,7.530607780005371
134,2021/8/12 18:7:55.728558,0.1,0.07,-0.0,0.28,-0.77,10.95,-60.0,7.530607780005371
135,2021/8/12 18:7:55.787996,-0.21,-0.05,0.05,0.3,-0.28,11.82,-62.0,8.322608713896155
136,2021/8/12 18:7:55.858280,0.01,0.16,0.03,0.42,-0.6,10.21,-62.0,8.322608713896155
137,2021/8/12 18:7:55.916795,0.29,-0.03,-0.01,0.64,0.4,10.03,-61.0,7.9167102972640615
138,2021/8/12 18:7:55.985553,-0.29,0.04,0.04,0.28,-0.16,10.97,-60.0,7.530607780005371
139,2021/8/12 18:7:56.45205,-0.0,0.19,0.05,0.46,-0.29,10.82,-60.0,7.530607780005371
140,2021/8/12 18:7:56.106501,0.2,-0.05,0.03,0.77,0.5,10.03,-60.0,7.530607780005371
141,2021/8/12 18:7:56.163684,-0.25,0.07,0.09,0.56,-0.33,10.12,-60.0,7.530607780005371
142,2021/8/12 18:7:56.225029,-0.01,0.08,0.01,0.1,-0.84,11.94,-60.0,7.530607780005371
143,2021/8/12 18:7:56.285140,0.14,-0.03,0.03,0.47,0.63,10.07,-61.0,7.9167102972640615
