Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
807,52:59.6,-0.04,0.03,0.01,0.49,-0.13,10.91,-61,7.916710297
808,52:59.7,-0.04,0.03,0.01,0.5,-0.13,10.91,-61,7.916710297
809,52:59.7,-0.04,0.03,0.01,0.49,-0.12,10.92,-61,7.916710297
810,52:59.8,-0.04,0.03,0.01,0.5,-0.11,10.91,-61,7.916710297
811,52:59.9,-0.04,0.03,0.01,0.5,-0.13,10.91,-61,7.916710297
812,52:59.9,-0.04,0.03,0.01,0.49,-0.12,10.91,-61,7.916710297
813,53:00.0,-0.04,0.03,0.01,0.49,-0.12,10.9,-61,7.916710297
814,53:00.6,-0.04,0.03,0.01,0.5,-0.12,10.91,-61,7.916710297
815,53:00.1,-0.04,0.03,0.01,0.49,-0.11,10.92,-61,7.916710297
816,53:00.2,-0.04,0.03,0.01,0.49,-0.12,10.92,-61,7.916710297
817,53:00.2,-0.04,0.03,0.01,0.49,-0.13,10.92,-61,7.916710297
818,53:00.3,-0.04,0.03,0.01,0.48,-0.13,10.91,-61,7.916710297
819,53:00.4,-0.04,0.03,0.01,0.5,-0.13,10.92,-61,7.916710297
820,53:00.4,-0.04,0.03,0.01,0.49,-0.12,10.93,-61,7.916710297
821,53:00.5,-0.04,0.03,0.01,0.49,-0.12,10.92,-61,7.916710297
822,53:00.6,-0.04,0.03,0.01,0.5,-0.11,10.92,-61,7.916710297
823,53:00.6,-0.04,0.03,0.02,0.49,-0.12,10.91,-61,7.916710297
824,53:00.7,-0.04,0.03,0.01,0.51,-0.12,10.92,-61,7.916710297
825,53:00.8,-0.04,0.03,0.01,0.5,-0.13,10.92,-61,7.916710297
826,53:00.8,-0.04,0.03,0.01,0.49,-0.13,10.91,-60,7.53060778
827,53:00.9,-0.04,0.03,0.01,0.49,-0.12,10.9,-60,7.53060778
828,53:00.9,-0.04,0.03,0.01,0.5,-0.12,10.92,-60,7.53060778
829,53:01.0,-0.04,0.03,0.01,0.5,-0.11,10.91,-60,7.53060778
830,53:01.6,-0.04,0.03,0.01,0.49,-0.12,10.93,-60,7.53060778
831,53:01.1,-0.04,0.03,0.01,0.5,-0.12,10.92,-60,7.53060778
832,53:01.2,-0.04,0.03,0.01,0.5,-0.12,10.91,-60,7.53060778
833,53:01.2,-0.04,0.03,0.01,0.5,-0.11,10.91,-60,7.53060778
834,53:01.3,-0.04,0.03,0.01,0.5,-0.13,10.9,-60,7.53060778
835,53:01.4,-0.04,0.03,0.01,0.51,-0.12,10.91,-60,7.53060778
836,53:01.4,-0.04,0.03,0.01,0.51,-0.11,10.92,-60,7.53060778
837,53:01.5,-0.04,0.03,0.01,0.5,-0.12,10.92,-60,7.53060778
838,53:01.6,-0.04,0.03,0.01,0.5,-0.11,10.9,-60,7.53060778
839,53:01.6,-0.04,0.03,0.01,0.5,-0.11,10.91,-60,7.53060778
840,53:01.7,0,0.03,0.01,0.44,2.61,12.54,-60,7.53060778
841,53:01.7,-0.17,0.1,0.04,0.41,5.03,14.21,-60,7.53060778
842,53:01.8,-0.14,0.1,-0.12,0.34,4.84,12.14,-60,7.53060778
843,53:01.9,-0.03,0,-0.17,0.53,3.59,13.74,-60,7.53060778
844,53:01.9,-0.08,0.17,-0.07,-0.1,2.39,12.42,-60,7.53060778
845,53:02.0,-0.12,0.04,-0.02,0.64,1.83,10.96,-60,7.53060778
