Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI
174,1627718027,-0.04,0.03,0.01,0.65,0.47,10.92,-23
175,1627718028,-0.05,0.02,0.01,0.63,0.48,10.9,-23
176,1627718029,-0.04,0.04,0.01,0.65,0.49,10.9,-23
177,1627718029,-0.04,0.04,0.01,0.64,0.49,10.91,-22
178,1627718030,-0.05,0.02,0.01,0.64,0.49,10.91,-23
179,1627718031,-0.04,0.03,0.01,0.65,0.48,10.91,-23
180,1627718032,-0.04,0.04,0.01,0.65,0.49,10.92,-22
181,1627718033,-0.04,0.03,0.01,0.64,0.48,10.91,-23
182,1627718033,-0.04,0.04,0.01,0.65,0.48,10.92,-22
183,1627718034,-0.04,0.03,0.01,0.65,0.49,10.93,-23
184,1627718035,-0.04,0.04,0.01,0.65,0.5,10.9,-22
185,1627718036,-0.04,0.04,0.01,0.65,0.49,10.91,-23
186,1627718037,-0.04,0.04,0.01,0.65,0.47,10.92,-22
187,1627718038,-0.04,0.03,0.01,0.64,0.49,10.91,-22
188,1627718038,-0.04,0.03,0.01,0.65,0.49,10.91,-22
189,1627718039,-0.04,0.04,0.01,0.66,0.48,10.91,-22
190,1627718040,-0.04,0.03,0.01,0.64,0.49,10.92,-23
191,1627718041,-0.04,0.03,0.01,0.65,0.5,10.9,-23
192,1627718042,-0.05,0.02,0.01,0.65,0.48,10.92,-23
193,1627718042,-0.04,0.03,0.01,0.64,0.49,10.92,-23
194,1627718043,-0.04,0.03,0.01,0.65,0.48,10.91,-23
195,1627718044,-0.04,0.03,0.01,0.65,0.48,10.92,-23
196,1627718045,-0.04,0.03,0.01,0.63,0.49,10.9,-23
197,1627718046,-0.04,0.03,0.01,0.65,0.49,10.92,-23
198,1627718046,-0.04,0.03,0.01,0.65,0.49,10.91,-22
199,1627718047,-0.04,0.04,0.01,0.66,0.48,10.92,-22
200,1627718048,-0.04,0.03,0.01,0.65,0.49,10.92,-22
201,1627718049,-0.04,0.03,0.01,0.65,0.48,10.92,-24
202,1627718050,-0.04,0.03,0.01,0.65,0.48,10.91,-23
203,1627718050,-0.04,0.03,0.01,0.65,0.48,10.9,-23
204,1627718051,-0.04,0.03,0.01,0.64,0.5,10.91,-23
205,1627718052,-0.04,0.03,0.01,0.65,0.49,10.91,-23
206,1627718053,-0.04,0.03,0.01,0.65,0.49,10.92,-23
207,1627718054,-0.04,0.04,0.01,0.66,0.49,10.91,-24
208,1627718054,-0.04,0.04,0.01,0.66,0.5,10.92,-23
209,1627718055,-0.04,0.03,0.01,0.66,0.49,10.91,-23
210,1627718056,-0.04,0.04,0.01,0.65,0.49,10.9,-23
211,1627718057,-0.04,0.04,0.01,0.65,0.49,10.91,-22
212,1627718058,-0.04,0.04,0.01,0.66,0.48,10.9,-23
213,1627718059,-0.04,0.04,0.01,0.64,0.49,10.91,-23
214,1627718059,-0.04,0.03,0.01,0.63,0.49,10.89,-23
215,1627718060,-0.04,0.03,0.01,0.66,0.48,10.92,-22
216,1627718061,-0.04,0.03,0.01,0.66,0.49,10.9,-23
217,1627718062,-0.04,0.03,0.01,0.65,0.49,10.9,-23
218,1627718063,-0.04,0.03,0.01,0.64,0.49,10.92,-23
219,1627718063,-0.04,0.03,0.01,0.64,0.48,10.91,-23
220,1627718064,-0.04,0.04,0.01,0.65,0.49,10.92,-23
221,1627718065,-0.04,0.04,0.01,0.65,0.49,10.91,-22
222,1627718066,-0.04,0.03,0.01,0.66,0.48,10.92,-23
223,1627718067,-0.04,0.04,0.01,0.66,0.48,10.91,-23
224,1627718067,-0.04,0.03,0.01,0.65,0.49,10.91,-23
225,1627718068,-0.04,0.04,0.01,0.66,0.48,10.91,-23
226,1627718069,-0.04,0.03,0.01,0.65,0.49,10.91,-23
227,1627718070,-0.04,0.04,0.01,0.65,0.48,10.91,-22
228,1627718071,-0.04,0.03,0.01,0.65,0.48,10.93,-22
229,1627718071,-0.04,0.03,0.01,0.65,0.49,10.91,-23
230,1627718072,0.01,0,-0.57,0.07,1.54,10.7,-33
231,1627718261,0,0,0,0,0,0,-38
232,1627718262,0,0,0,0,0,0,-38
233,1627718263,0,0,0,0,0,0,-37
234,1627718264,0,0,0,0,0,0,-38
235,1627718265,0,0,0,0,0,0,-37
236,1627718266,0,0,0,0,0,0,-36
237,1627718266,0,0,0,0,0,0,-37
238,1627718362,-0.04,0.03,0.01,0.37,0.28,10.91,-38
239,1627718363,-0.04,0.04,0.01,0.4,0.27,10.91,-38
240,1627718364,-0.04,0.03,0.01,0.4,0.28,10.93,-38
241,1627718365,-0.04,0.03,0.01,0.43,0.28,10.93,-40
242,1627718366,-0.04,0.03,0.01,0.42,0.28,10.93,-33
243,1627718367,-0.04,0.03,0.01,0.38,0.28,10.91,-38
244,1627718368,-0.04,0.01,0.01,0.42,0.28,10.92,-41
245,1627718369,-0.04,0.03,0.01,0.41,0.3,10.92,-41
246,1627718369,-0.04,0.03,0.01,0.43,0.3,10.93,-39
247,1627718370,-0.04,0.05,0.01,0.4,0.28,10.92,-39
